LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,LogType,AdditionalInformation,timestamp,input,tokens,Hour,Token_Count
1,2015-10-18,"18:01:47,978",INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E29,created mrappmaster for application appattempt_<var>,hadoop,Process: main,2015-10-18 18:01:47.978,"{""Component"": ""org.apache.hadoop.mapreduce.v2.app.MRAppMaster"", ""Content"": ""Created MRAppMaster for application appattempt_1445144423722_0020_000001"", ""EventId"": ""E29"", ""EventTemplate"": ""created mrappmaster for application appattempt_<var>""}","['created', 'mr', '##app', '##master', 'for', 'application', 'app', '##att', '##em', '##pt', '_', '<var>']",18,12
2,2015-10-18,"18:01:48,963",INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,E42,executing with tokens:,hadoop,Process: main,2015-10-18 18:01:48.963,"{""Component"": ""org.apache.hadoop.mapreduce.v2.app.MRAppMaster"", ""Content"": ""Executing with tokens:"", ""EventId"": ""E42"", ""EventTemplate"": ""executing with tokens:""}","['executing', 'with', 'token', '##s', ':']",18,5
3,2015-10-18,"18:01:48,963",INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",E61,"kind: yarn_am_rm_token, service: , ident: (appattemptid application_id id: <var> cluster_timestamp: <var> attemptid: <var> keyid: <var>)",hadoop,Process: main,2015-10-18 18:01:48.963,"{""Component"": ""org.apache.hadoop.mapreduce.v2.app.MRAppMaster"", ""Content"": ""Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)"", ""EventId"": ""E61"", ""EventTemplate"": ""kind: yarn_am_rm_token, service: , ident: (appattemptid application_id id: <var> cluster_timestamp: <var> attemptid: <var> keyid: <var>)""}","['kind', ':', 'yarn', '_', 'am', '_', 'rm', '_', 'token', ',', 'service', ':', ',', 'id', '##ent', ':', '(', 'app', '##att', '##em', '##pt', '##id', 'application', '_', 'id', 'id', ':', '<var>', 'cluster', '_', 'times', '##tam', '##p', ':', '<var>', 'attempt', '##id', ':', '<var>', 'key', '##id', ':', '<var>', ')']",18,44
4,2015-10-18,"18:01:49,228",INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,E111,using mapred newapicommitter.,hadoop,Process: main,2015-10-18 18:01:49.228,"{""Component"": ""org.apache.hadoop.mapreduce.v2.app.MRAppMaster"", ""Content"": ""Using mapred newApiCommitter."", ""EventId"": ""E111"", ""EventTemplate"": ""using mapred newapicommitter.""}","['using', 'map', '##red', 'new', '##ap', '##ico', '##mm', '##itte', '##r', '.']",18,10
5,2015-10-18,"18:01:50,353",INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,E76,outputcommitter set in config null,hadoop,Process: main,2015-10-18 18:01:50.353,"{""Component"": ""org.apache.hadoop.mapreduce.v2.app.MRAppMaster"", ""Content"": ""OutputCommitter set in config null"", ""EventId"": ""E76"", ""EventTemplate"": ""outputcommitter set in config null""}","['output', '##com', '##mit', '##ter', 'set', 'in', 'con', '##fi', '##g', 'null']",18,10
6,2015-10-18,"18:01:50,509",INFO,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,E75,outputcommitter is org.apache.hadoop.mapreduce.lib.output.fileoutputcommitter,hadoop,Process: main,2015-10-18 18:01:50.509,"{""Component"": ""org.apache.hadoop.mapreduce.v2.app.MRAppMaster"", ""Content"": ""OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter"", ""EventId"": ""E75"", ""EventTemplate"": ""outputcommitter is org.apache.hadoop.mapreduce.lib.output.fileoutputcommitter""}","['output', '##com', '##mit', '##ter', 'is', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', 'li', '##b', '.', 'output', '.', 'file', '##out', '##put', '##com', '##mit', '##ter']",18,27
7,2015-10-18,"18:01:50,556",INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,E89,registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>,hadoop,Process: main,2015-10-18 18:01:50.556,"{""Component"": ""org.apache.hadoop.yarn.event.AsyncDispatcher"", ""Content"": ""Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler"", ""EventId"": ""E89"", ""EventTemplate"": ""registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>""}","['registering', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>', 'for', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>']",18,28
8,2015-10-18,"18:01:50,556",INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,E89,registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>,hadoop,Process: main,2015-10-18 18:01:50.556,"{""Component"": ""org.apache.hadoop.yarn.event.AsyncDispatcher"", ""Content"": ""Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher"", ""EventId"": ""E89"", ""EventTemplate"": ""registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>""}","['registering', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>', 'for', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>']",18,28
9,2015-10-18,"18:01:50,556",INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,E89,registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>,hadoop,Process: main,2015-10-18 18:01:50.556,"{""Component"": ""org.apache.hadoop.yarn.event.AsyncDispatcher"", ""Content"": ""Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher"", ""EventId"": ""E89"", ""EventTemplate"": ""registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>""}","['registering', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>', 'for', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>']",18,28
10,2015-10-18,"18:01:50,556",INFO,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,E89,registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>,hadoop,Process: main,2015-10-18 18:01:50.556,"{""Component"": ""org.apache.hadoop.yarn.event.AsyncDispatcher"", ""Content"": ""Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher"", ""EventId"": ""E89"", ""EventTemplate"": ""registering class org.apache.hadoop.mapreduce.<var> for class org.apache.hadoop.mapreduce.<var>""}","['registering', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>', 'for', 'class', 'org', '.', 'apache', '.', 'had', '##oop', '.', 'map', '##red', '##uce', '.', '<var>']",18,28
